Name,RA,Dec,Distance,Period
PSR J1900-7951,285.1015,-79.8634,3.87,1.279193194
PSR J1119-7936,169.92,-79.6084,1.52,2.280597196
PSR J1057-7914,164.3641,-79.24,3.46,1.347402161
PSR J0401-7608,60.4653,-76.1372,1.52,0.545252742
PSR J0536-7543,84.1283,-75.7324,1.1,1.245855596
PSR J1708-7539,257.0106,-75.6563,2.01,1.191023997
PSR J0904-7459,136.0452,-74.9952,4.41,0.549553119
PSR J0045-7319,11.3962,-73.3175,57,0.926275835
PSR J0909-7212,137.4,-72.2023,3.99,1.362889954
PSR J0024-7204D,6.0578,-72.0788,4.5,0.005357573
PSR J0023-7204C,5.9598,-72.0754,4.5,0.00575678
PSR J0024-7204F,6.0246,-72.073,4.5,0.002623579
PSR J0024-7204G,6.0246,-72.073,4.5,0.004040379
PSR J0024-7204H,6.0246,-72.073,4.5,0.0032105
PSR J0024-7204L,6.0246,-72.073,4.5,0.00434617
PSR J0024-7204M,6.0246,-72.073,4.5,0.00367666
PSR J0024-7204N,6.0246,-72.073,4.5,0.003053954
PSR J0024-7204I,6.0246,-72.073,4.5,0.003484993
PSR J0024-7204J,6.0246,-72.073,4.5,0.002100633
PSR J0024-7204E,6.0246,-72.073,4.5,0.003536329
PSR J2053-7200,313.4458,-72.0115,1.11,0.341336162
PSR J0132-7010,23.075,-70.1667,2.35,0.463475
PSR J0455-6947,73.9955,-69.7901,49.4,0.3204213
PSR J1112-6926,168.2124,-69.442,12.32,0.820484204
PSR J0540-6919,85.046,-69.332,49.4,0.050377107
PSR J1456-6843,224.0008,-68.7274,0.45,0.263376779
PSR J1239-6832,189.9957,-68.541,2.98,1.301908114
PSR J1646-6831,251.7281,-68.5307,1.8,1.78561124
PSR J0711-6830,107.7583,-68.5,1.03,0.00549097
PSR J1130-6815,172.5958,-68.25,7.24,0.256365
PSR J1259-6741,194.8446,-67.6944,2.74,0.663329049
PSR J1047-6711,161.7917,-67.1833,4.68,0.198451
PSR J1326-6700,201.5135,-67.0142,8.62,0.543008579
PSR J1137-6659,174.4625,-66.9833,19.67,0.556219
PSR J0529-6655,82.3679,-66.913,49.4,0.97572269
PSR J1124-6652,171.0917,-66.8667,3.45,0.232977
PSR J2127-6648,321.8803,-66.8078,2.75,0.325771287
PSR J1507-6640,226.9527,-66.6825,5.61,0.355654901
PSR J0502-6625,75.6465,-66.4309,49.4,0.69124836
PSR J1430-6623,217.6703,-66.3847,1.8,0.785440757
PSR J1306-6617,196.6591,-66.2894,29.14,0.473026471
PSR J1112-6613,168.1606,-66.218,19.29,0.33421284
PSR J1340-6456,205.0013,-64.9452,1.93,0.378622066
PSR J1305-6455,196.3486,-64.924,30,0.571646944
PSR J1243-6423,190.8215,-64.39,12.2,0.388480921
PSR J1453-6413,223.3864,-64.221,1.84,0.179483894
PSR J1326-6408,201.6357,-64.1454,15.94,0.792670107
PSR J1225-6408,186.4283,-64.1453,24.82,0.419617792
PSR J1224-6407,186.0924,-64.1316,2.29,0.216474814
PSR J1401-6357,210.4687,-63.9626,2.6,0.842789632
PSR J1302-6350,195.6987,-63.8357,4.6,0.047762338
PSR J1440-6344,220.1304,-63.7466,4.03,0.459605364
PSR J0902-6325,135.635,-63.42,4.44,0.660313372
PSR J1007-6316,151.875,-63.2667,9.66,0.835799
PSR J1413-6307,213.3805,-63.1265,3.68,0.394945791
PSR J1327-6301,201.7811,-63.0209,6.5,0.196478664
PSR J1056-6258,164.1065,-62.9799,14.9,0.422447189
PSR J1123-6256,170.9875,-62.9333,7.48,0.271433
PSR J1133-6250,173.4644,-62.8474,30,1.022875141
PSR J1357-6228,209.3557,-62.4604,6.9,0.455761
PSR J1157-6224,179.3135,-62.4141,9.5,0.400522048
PSR J1327-6222,201.8217,-62.3786,6.61,0.529906294
PSR J1341-6220,205.4272,-62.3403,8.66,0.193292119
PSR J1338-6204,204.5389,-62.0718,8.14,1.238989577
PSR J0856-6137,134.2471,-61.6315,6.52,0.962508557
PSR J1114-6100,168.5938,-61.0095,30,0.880819625
PSR J1319-6056,199.8345,-60.9463,12.63,0.284351393
PSR J1126-6054,171.7192,-60.9111,8.05,0.202736912
PSR J2324-6054,351.1119,-60.9011,1.12,2.347485196
PSR J1359-6038,209.9926,-60.6356,5.91,0.127500777
PSR J1146-6030,176.5322,-60.5165,2.62,0.27337243
PSR J1833-6023,278.3117,-60.3844,1.85,1.8894355
PSR J1704-6016,256.0618,-60.2816,1.89,0.306323025
PSR J1635-5954,248.7878,-59.9113,7.26,0.529121257
PSR J1107-5947,166.9945,-59.7845,3.54,1.516530965
PSR J1032-5910,158.0278,-59.1744,7.31,0.46420801
PSR J1156-5909,179.1625,-59.15,8.76,1.03793
PSR J1513-5908,228.4817,-59.1358,4.4,0.150657551
PSR J1326-5859,201.7429,-58.9916,9.29,0.47798969
PSR J1012-5857,153.202,-58.9611,10.15,0.819911496
PSR J1334-5839,203.5458,-58.65,3.88,0.107718
PSR J1048-5832,162.0544,-58.5369,2.98,0.123652607
PSR J1038-5831,159.5821,-58.5242,2.43,0.661992094
PSR J1522-5829,230.6761,-58.4841,4.47,0.39535286
PSR J1202-5820,180.6183,-58.3426,4.96,0.452800508
PSR J1253-5819,193.3333,-58.3167,2.97,0.255496
PSR J0924-5814,141.1291,-58.2351,2.01,0.739499561
PSR J1046-5813,161.5786,-58.2311,4.8,0.369426696
PSR J1512-5759,228.1793,-57.9999,12.69,0.128694148
PSR J0600-5756,90.1936,-57.9482,2.55,2.261364513
PSR J1600-5751,240.0831,-57.8541,5.34,0.194454482
PSR J1059-5742,164.7538,-57.7039,2.74,1.184997403
PSR J0942-5657,145.7269,-56.9621,5.07,0.808127417
PSR J2155-5641,328.7559,-56.6992,0.86,1.373654387
PSR J1110-5637,167.5017,-56.6258,9.19,0.558252726
PSR J1539-5626,234.8082,-56.4404,4.01,0.2433922
PSR J1017-5621,154.3036,-56.3585,11.77,0.503458815
PSR J1749-5605,267.4353,-56.0886,2.66,1.33230972
PSR J1225-5600,186.4333,-56,5.28,0.339483
PSR J1209-5556,182.4625,-55.9333,11.83,0.279767
PSR J0942-5552,145.5655,-55.882,6.35,0.664361124
PSR J1527-5552,231.9204,-55.8685,7.07,1.048704887
PSR J1559-5545,239.8389,-55.7611,5.04,0.957242442
PSR J1615-5537,243.9185,-55.6168,3.57,0.791525716
PSR J1428-5530,217.1096,-55.5139,2.29,0.570290463
PSR J1136-5525,174.0089,-55.419,2.6,0.364705576
PSR J1042-5521,160.5025,-55.3515,6.95,1.170859077
PSR J1356-5521,209.175,-55.35,8.74,0.50738
PSR J1312-5516,198.2243,-55.2798,6.76,0.849235685
PSR J1235-5517,188.8288,-55.2753,3.88,0.63823381
PSR J1001-5507,150.4081,-55.119,3.59,1.436582629
PSR J1553-5456,238.4982,-54.935,4.41,1.081328247
PSR J1121-5444,170.33,-54.7349,15.5,0.535783131
PSR J1420-5416,215.1214,-54.273,4.9,0.935771922
PSR J1534-5405,233.64,-54.0944,4.27,0.289688895
PSR J1312-5402,198.0193,-54.0451,9.68,0.728154217
PSR J1320-5359,200.2247,-53.9851,4.23,0.279729147
PSR J0745-5351,116.2596,-53.8561,7.14,0.214836351
PSR J1711-5350,257.9713,-53.8377,4.24,0.899217799
PSR J1016-5345,154.1302,-53.7538,2.5,0.769583527
PSR J1810-5338,272.6851,-53.6355,2,0.261049318
PSR J1534-5334,233.5349,-53.572,1.13,1.368880909
PSR J0840-5332,130.1412,-53.5432,7.78,0.720611768
PSR J1544-5308,236.2494,-53.1463,1.29,0.1785538
PSR J0255-5304,43.9843,-53.0726,1.15,0.447708444
PSR J0955-5304,148.8729,-53.0713,4.86,0.862117739
PSR J0924-5302,141.0362,-53.0456,5.61,0.74629521
PSR J1605-5257,241.3178,-52.9595,1.24,0.658013101
PSR J1651-5255,252.9218,-52.9299,5.99,0.890533958
PSR J0934-5249,143.618,-52.8242,2.9,1.444771496
PSR J0941-5248,145.4667,-52.8,5.63,0.65855
PSR J1057-5226,164.4952,-52.449,1.53,0.197107608
PSR J1651-5222,252.929,-52.3828,6.39,0.635055976
PSR J1611-5209,242.7634,-52.1566,3.34,0.182491659
PSR J1142-5203,175.6958,-52.05,10.77,0.675642
PSR J1506-5158,226.6647,-51.9696,1.67,0.840738545
PSR J0907-5157,136.8163,-51.9665,2.65,0.253556015
PSR J1355-5153,208.9945,-51.8983,6.48,0.644301096
PSR J0905-5127,136.4083,-51.45,8.35,0.346287
PSR J1402-5124,210.7369,-51.4069,1.52,1.380177
PSR J1457-5122,224.4175,-51.3814,1.37,1.74830108
PSR J1602-5100,240.5792,-51.0012,6.3,0.864202078
PSR J1614-5047,243.5642,-50.7885,7.26,0.231601763
PSR J1600-5044,240.2211,-50.7392,6.3,0.192598319
PSR J1542-5034,235.7,-50.5667,2.54,0.59924
PSR J1633-5015,248.2504,-50.2523,7.02,0.35214238
PSR J1036-4926,159.0792,-49.4333,8.39,0.510367
PSR J1328-4921,202.1399,-49.3593,7.78,1.478721356
PSR J0908-4913,137.1481,-49.2185,6.57,0.106754593
PSR J1604-4909,241.0959,-49.1659,3.59,0.327417288
PSR J1703-4902,255.75,-49.0333,4.47,1.3965
PSR J0842-4851,130.5224,-48.8558,8.7,0.644354056
PSR J1549-4848,237.325,-48.8,1.55,0.288347
PSR J1514-4834,228.5607,-48.5721,1.59,0.454839209
PSR J0959-4809,149.8594,-48.1632,2.96,0.67008576
PSR J0809-4753,122.4329,-47.8987,12.72,0.547199236
PSR J1003-4747,150.8399,-47.7839,3.44,0.3070717
PSR J1731-4744,262.925,-47.7425,4.87,0.829723641
PSR J1630-4733,247.6561,-47.5514,6.54,0.575971412
PSR J1640-4715,250.055,-47.2598,7.25,0.517404835
PSR J0437-4715,69.3155,-47.2522,0.14,0.005757452
PSR J1613-4714,243.371,-47.2405,3.9,0.382375953
